player_id,player_name,team_abbreviation,age,gp,w_pct,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,pts,plus_minus,nba_fantasy_pts,dd2,td3,wnba_fantasy_pts,e_off_rating,e_def_rating,e_net_rating,ast_pct,ast_to,reb_pct,e_tov_pct,efg_pct,ts_pct,usg_pct,pace,pace_per40,pie,year,allstar
1628369,Jayson Tatum,BOS,25,60,0.717,37.3,9.9,21.4,0.462,3.2,9.2,0.35,7.2,8.4,0.863,1.1,7.7,8.8,4.8,3,1,0.8,30.2,5.9,50.3,26,1,50.6,118.2,109.8,8.4,0.21,1.59,0.117,9.1,0.537,0.603,0.321,99.91,83.26,0.166,2022,TRUE
1628370,Malik Monk,SAC,25,59,0.61,22.7,4.8,10.6,0.451,1.7,5.1,0.338,2.4,2.6,0.904,0.5,2.1,2.6,3.9,2,0.6,0.2,13.7,0.5,23.1,0,0,23.6,112.8,112.8,0,0.252,1.91,0.058,11.5,0.533,0.581,0.249,104.08,86.73,0.113,2022,FALSE
1628371,Jonathan Isaac,ORL,25,11,0.727,11.3,2,4.8,0.415,0.5,1.4,0.4,0.5,0.8,0.556,1.4,2.6,4,0.5,0.4,1.3,0.4,5,-1.7,15.2,0,0,13.4,102.7,105,-2.3,0.085,1.5,0.165,6,0.472,0.483,0.198,99.46,82.88,0.153,2022,FALSE
1628372,Dennis Smith Jr.,CHA,25,43,0.326,25.2,3.3,8,0.421,0.4,1.9,0.21,1.4,1.9,0.747,0.4,2.3,2.8,4.5,1.5,1.4,0.4,8.5,-0.7,22.7,1,0,19.9,104.1,105.2,-1.1,0.259,3.06,0.051,9.9,0.446,0.485,0.17,102.3,85.25,0.088,2022,FALSE
1628373,Frank Ntilikina,DAL,24,38,0.474,12.2,0.9,2.6,0.347,0.3,1.4,0.208,0.4,0.6,0.636,0.2,1.2,1.3,1.2,0.7,0.3,0.1,2.4,0.6,6.3,0,0,6,115.6,110.6,5,0.13,1.8,0.054,14.1,0.403,0.432,0.125,100.38,83.65,0.027,2022,FALSE
1628374,Lauri Markkanen,UTA,25,58,0.5,34.3,8.5,16.6,0.511,3,7.4,0.406,5.2,5.9,0.875,1.9,6.7,8.6,1.8,1.9,0.6,0.6,25.2,2.5,39.9,25,0,41,114.8,111.8,3,0.084,0.93,0.12,8.5,0.601,0.654,0.253,100.86,84.05,0.156,2022,TRUE
1628378,Donovan Mitchell,CLE,26,54,0.63,35.5,9.6,20,0.481,3.7,9.5,0.387,4.6,5.2,0.876,0.9,3.1,4,4.8,2.7,1.5,0.4,27.5,4.7,42.5,4,0,43.8,114.2,108.6,5.7,0.223,1.78,0.06,9,0.572,0.616,0.306,96.47,80.39,0.149,2022,TRUE
1628379,Luke Kennard,MEM,26,41,0.585,20.8,2.7,5.9,0.45,1.7,3.8,0.446,0.6,0.6,0.958,0.2,2.1,2.2,1.1,0.8,0.5,0.1,7.6,1.9,12.9,0,0,13.8,110.8,106.8,4,0.071,1.38,0.053,9.7,0.595,0.616,0.142,100,83.34,0.071,2022,FALSE
1628380,Zach Collins,SAS,25,52,0.288,21.7,4,7.7,0.52,0.7,1.9,0.351,1.6,2.2,0.75,1.8,4.2,6,2.7,1.9,0.5,0.7,10.3,-4.5,23.2,6,0,22,106.2,116.8,-10.6,0.181,1.42,0.132,14.4,0.563,0.594,0.199,103.5,86.25,0.104,2022,FALSE
1628381,John Collins,ATL,25,53,0.528,30.8,5.1,10,0.509,0.8,3.2,0.251,2,2.5,0.818,1.1,5.8,6.9,1.2,1.2,0.6,1.2,13,0.5,27.3,10,0,25.5,112.7,112.3,0.5,0.05,0.97,0.109,9,0.549,0.587,0.166,102.44,85.36,0.088,2022,FALSE
