player_id,player_name,team_abbreviation,age,gp,w_pct,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,pts,plus_minus,nba_fantasy_pts,dd2,td3,e_off_rating,e_def_rating,e_net_rating,ast_pct,ast_to,reb_pct,e_tov_pct,efg_pct,ts_pct,usg_pct,pace,pace_per40,pie,year
201942,DeMar DeRozan,CHI,32,22,0.636,35,9.2,18.8,0.489,0.9,2.6,0.328,6.7,7.5,0.896,0.7,4.5,5.2,4.2,2,1,0.4,25.9,6.9,40.4,1,0,110.9,101,9.9,0.199,2.04,0.073,7.2,0.512,0.587,0.292,101.55,84.63,0.156,2021
201949,James Johnson,BKN,34,13,0.692,16.4,1.7,3.8,0.44,0.2,0.8,0.273,0.4,0.9,0.417,0.9,2.5,3.4,1.4,0.7,0.4,0.4,4,4.3,11.8,1,0,113.3,98.3,15,0.116,2,0.096,10.9,0.47,0.47,0.13,99.01,82.51,0.056,2021
201950,Jrue Holiday,MIL,31,16,0.75,31,5.9,13.8,0.432,1.6,5.1,0.321,1.1,1.6,0.68,0.6,3.9,4.6,5.9,2.4,1.4,0.4,14.6,8.3,32.1,1,0,116.1,103.9,12.3,0.268,2.44,0.068,10.7,0.491,0.504,0.229,100.95,84.12,0.104,2021
201959,Taj Gibson,NYK,36,10,0.5,20.2,1.4,2.9,0.483,0,0.3,0,0.7,0.8,0.875,2.1,3,5.1,0.8,0.9,0.4,1.4,3.5,3.6,15.3,0,0,104.6,93.8,10.9,0.056,0.89,0.108,18.2,0.483,0.538,0.087,97.63,81.36,0.052,2021
201961,Wayne Ellington,LAL,34,15,0.467,20.8,2.2,5.5,0.402,2,5.1,0.395,0.3,0.3,1,0.2,1.4,1.6,0.7,0.4,0.4,0.1,6.7,-0.7,10.9,0,0,108.5,109,-0.5,0.048,1.83,0.037,6,0.585,0.597,0.12,101.7,84.75,0.054,2021
201976,Patrick Beverley,MIN,33,16,0.5,25.4,3.1,6.7,0.458,1.2,3.5,0.339,0.8,1.1,0.706,1.4,2.9,4.4,4.5,1.2,0.9,1,8.1,2.7,24.5,1,0,109.8,104.2,5.6,0.243,3.79,0.079,9.2,0.547,0.563,0.134,99.21,82.67,0.101,2021
201980,Danny Green,PHI,34,15,0.4,23.1,2.7,5.7,0.465,2.1,4.9,0.419,0.3,0.3,1,0.7,1.7,2.3,1.1,0.9,1.6,0.7,7.7,3.7,18,0,0,111.7,103.9,7.8,0.065,1.23,0.05,11.1,0.645,0.655,0.128,98.1,81.75,0.072,2021
201988,Patty Mills,BKN,33,21,0.714,27.9,4.3,9.4,0.457,3.1,6.6,0.478,0.5,0.5,0.909,0.3,1.5,1.8,2.5,0.8,0.5,0.2,12.2,6.9,19.4,0,0,115.5,104.4,11.1,0.121,3.06,0.03,6.3,0.624,0.634,0.16,101.22,84.35,0.081,2021
202066,Garrett Temple,NOP,35,22,0.273,18.3,1.9,4.8,0.4,1,2.8,0.371,0.8,1,0.773,0.6,1.8,2.4,1,0.9,0.9,0.5,5.6,-8.9,13.5,0,0,95.9,119.3,-23.4,0.091,1.21,0.064,12.1,0.51,0.541,0.138,100.39,83.66,0.06,2021
202324,Derrick Favors,OKC,30,16,0.375,16.7,2.6,5.3,0.488,0.1,0.5,0.25,0.5,0.9,0.571,1.5,3.5,5,0.4,0.3,0.5,0.1,5.8,-5.9,13.9,1,0,93.9,110.2,-16.4,0.039,1.2,0.134,4.9,0.5,0.51,0.152,99.29,82.74,0.098,2021
202326,DeMarcus Cousins,MIL,31,1,1,14.6,3,5,0.6,1,2,0.5,0,0,0,1,3,4,1,0,1,0,7,9,16.3,0,0,147.1,117.9,29.2,0.067,0,0.143,0,0.7,0.7,0.139,105.21,87.67,0.109,2021
202330,Gordon Hayward,CHA,31,24,0.542,33.8,6.1,13.2,0.462,1.8,4.4,0.406,3.3,3.9,0.849,0.9,4,4.9,3.5,1.9,0.9,0.6,17.3,-0.5,30.9,1,0,109.2,109.5,-0.3,0.146,1.8,0.067,9.5,0.53,0.58,0.205,104.79,87.33,0.102,2021
202331,Paul George,LAC,31,21,0.524,35.5,9.5,22,0.431,2.9,8.8,0.332,4,4.5,0.895,0.4,6.9,7.3,5.1,4.3,1.8,0.4,25.9,0.5,44.6,5,0,104.4,103.1,1.3,0.265,1.19,0.097,12.8,0.497,0.54,0.34,100.07,83.39,0.147,2021
202334,Ed Davis,CLE,32,8,0.5,9.4,0.9,1.3,0.7,0,0,0,0.1,0.3,0.5,0.5,3,3.5,0.1,0.4,0.3,0.5,1.9,-4,8.1,0,0,92.8,117.1,-24.3,0.022,0.33,0.184,20.2,0.7,0.689,0.081,96.11,80.09,0.108,2021
202339,Eric Bledsoe,LAC,31,22,0.5,27.9,3.6,8.6,0.421,0.9,3.1,0.279,1.7,2,0.822,0.7,3.5,4.3,3.4,2.2,1.4,0.5,9.8,-3.7,23.4,1,0,101.4,106.5,-5,0.184,1.54,0.072,14.5,0.471,0.515,0.177,100.43,83.69,0.087,2021
202340,Avery Bradley,LAL,31,21,0.476,22.3,1.9,5,0.381,1,3,0.349,0.1,0.1,1,0.5,2,2.5,0.9,0.6,0.6,0.2,5,-5.1,11.1,0,0,99.3,107.9,-8.6,0.054,1.5,0.054,8.8,0.486,0.491,0.106,102.26,85.21,0.042,2021
202355,Hassan Whiteside,UTA,32,21,0.667,15.4,2.8,4.8,0.58,0,0,0,1.4,2,0.698,2,4.5,6.5,0.2,1,0.2,1.3,7,3.7,18.9,2,0,113.7,103,10.7,0.022,0.24,0.2,14.5,0.58,0.614,0.178,101.14,84.28,0.118,2021
202357,Nemanja Bjelica,GSW,33,21,0.857,14.3,2.2,4.9,0.451,0.9,2.4,0.36,0.9,1.1,0.792,0.9,3,4,1.6,1.1,0.7,0.3,6.1,5.5,15.1,1,0,113.1,96.2,16.9,0.157,1.38,0.134,14.2,0.539,0.573,0.19,102.39,85.33,0.12,2021
202397,Ish Smith,CHA,33,17,0.529,12.6,1.9,4.8,0.39,0.1,0.1,0.5,0.2,0.5,0.375,0.1,1,1.1,2.2,0.9,0.4,0.2,4,-3.3,9.6,0,0,101.2,114.9,-13.7,0.259,2.47,0.04,10.9,0.396,0.398,0.19,105.06,87.55,0.058,2021
202683,Enes Freedom,BOS,29,11,0.545,12.7,1.6,3.9,0.419,0.1,0.3,0.333,1.3,1.5,0.875,2.3,3.5,5.8,0.2,0.7,0.2,0.5,4.6,3.9,13.3,1,0,110.9,99.2,11.8,0.021,0.25,0.198,13.3,0.43,0.51,0.164,96.93,80.78,0.12,2021
202684,Tristan Thompson,SAC,30,15,0.4,14.1,2.3,4.5,0.507,0,0,0,1,2,0.5,2.4,3.2,5.6,0.7,0.7,0.3,0.4,5.5,-3.7,14.8,0,0,103.4,116.1,-12.7,0.073,1,0.176,10,0.507,0.517,0.17,101.75,84.79,0.098,2021
202685,Jonas Valanciunas,NOP,29,24,0.25,31.3,7.1,14.2,0.503,1.3,2.6,0.484,3.3,3.8,0.868,3.4,8.8,12.1,2.4,2,0.6,0.8,18.8,-4.4,39.1,17,0,101.8,111.7,-9.9,0.133,1.16,0.188,10.1,0.547,0.593,0.244,97.95,81.63,0.161,2021
202689,Kemba Walker,NYK,31,18,0.556,24.5,4.2,9.8,0.429,2.1,5.1,0.413,1.1,1.4,0.8,0.1,2.4,2.6,3.1,1.3,1.1,0.3,11.7,-6.8,22,0,0,101.5,115.3,-13.8,0.206,2.29,0.05,9,0.537,0.559,0.208,98.85,82.37,0.101,2021
202692,Alec Burks,NYK,30,21,0.524,23.1,3.6,8.4,0.426,2.1,4.8,0.446,1.9,2.3,0.796,0.3,3.5,3.9,2,0.8,1.1,0.3,11.1,1.7,22.4,0,0,106.8,101,5.8,0.138,2.56,0.077,6.3,0.554,0.592,0.188,97.83,81.52,0.119,2021
202693,Markieff Morris,MIA,32,10,0.7,18.7,3.2,7,0.457,0.8,2.2,0.364,0.5,0.5,1,1.3,1.5,2.8,1.4,1.2,0.3,0.1,7.7,2.7,13.2,0,0,116.3,107.9,8.4,0.102,1.17,0.073,12.2,0.514,0.533,0.19,99.51,82.93,0.055,2021
202694,Marcus Morris Sr.,LAC,32,6,0.167,27.5,3.2,9.8,0.322,1.2,4.8,0.241,0.8,1,0.833,0.3,3.2,3.5,2,1.5,0.5,0.7,8.3,-7.5,17.5,0,0,101.7,112.7,-11.1,0.109,1.33,0.058,10.9,0.381,0.406,0.18,99.75,83.12,0.03,2021
202696,Nikola Vucevic,CHI,31,15,0.667,33,6,14.3,0.421,1.4,4.2,0.333,1.1,1.7,0.615,1.7,9.5,11.2,4.1,1.7,1.1,1.1,14.5,6.3,38.8,9,0,109,101.1,7.9,0.183,2.48,0.167,8,0.47,0.481,0.221,100.41,83.67,0.127,2021
202699,Tobias Harris,PHI,29,14,0.429,34.1,7.8,16.4,0.476,1.2,4.1,0.298,2.4,2.9,0.829,1,7.2,8.2,3.7,1.7,0.4,0.5,19.2,-0.3,35.7,3,0,107.7,107.8,-0.1,0.191,2.17,0.119,7.4,0.513,0.544,0.254,96.66,80.55,0.14,2021
202704,Reggie Jackson,LAC,31,22,0.5,33.3,6.5,16.4,0.399,2.8,8.4,0.335,1.4,1.7,0.816,0.6,3,3.6,3.8,1.9,0.7,0.1,17.3,1.6,27.8,1,0,105.2,102.6,2.6,0.183,2,0.05,8.3,0.485,0.504,0.246,100.62,83.85,0.087,2021
202709,Cory Joseph,DET,30,21,0.19,21.7,2.3,5.3,0.438,0.6,1.9,0.308,1.5,1.8,0.816,0.3,1.5,1.9,3.5,1.4,0.9,0.2,6.7,-2.4,16,0,0,100.3,107.4,-7.1,0.253,2.55,0.042,12.5,0.491,0.548,0.146,100.18,83.48,0.083,2021
202710,Jimmy Butler,MIA,32,17,0.647,34.2,7.9,15.3,0.519,0.4,1.8,0.2,7.4,8.6,0.85,1.6,4.2,5.8,5.3,1.9,2.1,0.3,23.6,2.6,43.8,3,1,108.3,105.1,3.2,0.275,2.73,0.084,7.4,0.531,0.618,0.269,96.54,80.45,0.19,2021
202711,Bojan Bogdanovic,UTA,32,21,0.667,30.1,5.6,12.2,0.461,2.4,6,0.397,3.3,3.6,0.92,0.8,3.3,4.1,1.9,1.6,0.4,0,16.9,6.4,24.4,0,0,114.6,104,10.6,0.09,1.15,0.066,9.4,0.559,0.614,0.217,99.49,82.91,0.11,2021
202722,Davis Bertans,WAS,29,12,0.667,16.2,1.6,5.5,0.288,1.2,4.4,0.264,1.2,1.2,1,0.3,1.7,1.9,0.5,0.4,0.2,0,5.5,-1.8,8.6,0,0,102.7,113.3,-10.7,0.043,1.2,0.057,6,0.394,0.457,0.161,102.89,85.74,0.034,2021
202954,Brad Wanamaker,IND,32,12,0.333,12.8,1.1,3.4,0.317,0.3,1.1,0.308,1.3,1.4,0.882,0.3,1.5,1.8,2.1,1.2,0.2,0.4,3.8,-0.8,9.6,0,0,105.4,106.3,-0.9,0.231,1.79,0.066,16,0.366,0.464,0.165,102.78,85.65,0.049,2021
203076,Anthony Davis,LAL,28,22,0.5,35.7,9.7,18.7,0.518,0.4,2.1,0.196,4.5,6.2,0.728,2.9,7.1,10,3,2,1.3,2.3,24.3,-3,49.6,10,0,103.7,106.3,-2.6,0.149,1.52,0.131,7.6,0.529,0.567,0.271,102.54,85.45,0.162,2021
203078,Bradley Beal,WAS,28,19,0.579,36,8.7,20.1,0.435,1.7,6.3,0.269,3.6,4,0.895,0.9,4.2,5.1,6.2,3.8,1,0.3,22.7,0.8,38.3,1,0,106,105.1,0.9,0.291,1.63,0.068,11.9,0.476,0.52,0.307,98.56,82.13,0.12,2021
203081,Damian Lillard,POR,31,20,0.5,35.7,7.3,18.4,0.397,2.8,9.1,0.302,4.1,4.5,0.911,0.4,3.6,4,7.8,2.6,0.7,0.4,21.5,1.6,38.4,6,0,111.9,111.1,0.8,0.331,3,0.055,8.4,0.471,0.526,0.272,99.91,83.26,0.12,2021
203082,Terrence Ross,ORL,30,22,0.227,24.8,3.4,8.8,0.381,1.3,4.5,0.296,1.6,2,0.778,0.2,1.8,2,2,1.4,0.5,0.2,9.6,-10.4,15.7,0,0,93.9,115.6,-21.7,0.137,1.45,0.037,10.7,0.456,0.496,0.184,100.37,83.64,0.06,2021
203083,Andre Drummond,PHI,28,21,0.476,21.9,2.7,5.7,0.471,0,0,0,1.2,2.2,0.565,3.4,7.3,10.7,2.1,1.8,0.9,1.2,6.6,0.2,27,4,0,110.3,108.4,1.9,0.134,1.16,0.24,17.2,0.471,0.496,0.168,97.89,81.57,0.12,2021
203084,Harrison Barnes,SAC,29,19,0.368,35,5.8,12.1,0.478,1.9,4.9,0.398,5.5,6.5,0.846,1.4,5.8,7.2,2.4,2.1,1,0.2,19,-3.4,32.6,4,0,108.3,112.8,-4.5,0.102,1.18,0.098,10.6,0.559,0.635,0.204,102.04,85.03,0.125,2021
203085,Austin Rivers,DEN,29,18,0.556,17.5,1.5,4.3,0.346,0.7,2.7,0.271,0.2,0.3,0.5,0.4,1.1,1.4,0.8,0.6,0.5,0.1,3.9,-2.8,8.1,0,0,104.3,111.4,-7.2,0.067,1.4,0.043,9.6,0.429,0.434,0.131,95.02,79.18,0.026,2021
203087,Jeremy Lamb,IND,29,17,0.294,13.7,2.3,5.5,0.415,1.2,2.9,0.408,1.6,1.6,1,0.3,2.3,2.6,1.1,0.5,0.5,0.4,7.4,0.4,14.3,0,0,107.6,106.8,0.7,0.117,2.25,0.087,6,0.521,0.593,0.2,102.27,85.23,0.129,2021
203090,Maurice Harkless,SAC,28,16,0.438,20.5,1.6,4.1,0.385,0.6,2.5,0.225,0.5,0.7,0.727,0.2,2.6,2.8,0.6,0.4,0.5,0.5,4.2,-0.3,11,0,0,104.9,104.7,0.2,0.035,1.29,0.064,8.2,0.454,0.48,0.102,101.33,84.44,0.043,2021
203095,Evan Fournier,NYK,29,21,0.524,28.4,4.7,11.4,0.414,2.6,6.5,0.394,1.1,1.4,0.767,0.5,2.3,2.9,1.7,1.3,0.9,0.2,13.1,-3.1,20.8,0,0,104.3,110.2,-5.9,0.092,1.25,0.047,8.9,0.527,0.545,0.199,98.62,82.18,0.073,2021
203107,Tomas Satoransky,NOP,30,19,0.263,15.5,1.1,3.2,0.333,0.2,0.7,0.214,0.5,0.7,0.692,0.6,1.4,2,2.2,0.7,0.4,0,2.7,-5.3,8.8,0,0,97,114.1,-17.1,0.218,3,0.065,11.5,0.358,0.396,0.116,97.33,81.1,0.045,2021
203109,Jae Crowder,PHX,31,21,0.857,27.8,3,8,0.381,1.9,5.5,0.336,1,1.2,0.769,0.5,4.2,4.7,1.4,0.8,1.3,0.5,8.9,5.5,21.2,0,0,115,103.5,11.5,0.063,1.88,0.083,7.1,0.497,0.521,0.144,100.5,83.75,0.068,2021
203110,Draymond Green,GSW,31,20,0.85,30.1,3.3,5.9,0.551,0.3,1,0.316,1.4,2.3,0.6,1.3,6.7,8,7.7,3.2,1.1,0.9,8.2,7,32,2,0,111.1,100.4,10.6,0.331,2.43,0.129,17.8,0.576,0.591,0.142,102.27,85.22,0.123,2021
203114,Khris Middleton,MIL,30,14,0.786,30.2,5.9,14.4,0.413,2,5.9,0.337,3.3,3.8,0.868,0.4,4.9,5.2,4.9,2.9,1.4,0.1,17.1,4.1,32.5,0,0,109.5,102.5,7,0.239,1.7,0.079,12,0.483,0.535,0.252,104.77,87.31,0.119,2021
203115,Will Barton,DEN,30,19,0.474,33.5,6.2,13.7,0.452,2.5,6.4,0.388,1.2,1.6,0.71,0.6,4.7,5.3,4.2,1.8,0.9,0.4,16.1,1.6,31,0,0,104.4,103,1.4,0.194,2.35,0.077,8.7,0.542,0.555,0.211,98.72,82.27,0.119,2021
